,playlistURI,participant,rating,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity,Downloaded
32,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,delta state,6D2fyFDu59UbQJO2rgcO9N,https://p.scdn.co/mp3-preview/d48b3d02c32170d288379d3d623d432fa23f09f7?cid=a91ed9edffbc4349b0ae66ad2680900a,2021-01-06,[unknown],0.0757,0.00429,-38.474,0.0553,0.819,0.829,0.111,0.0601,75.47,2,1,181750,64.0,1
33,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Polar Breeze,2rsMqLxGgLH6csppBYXG6f,https://p.scdn.co/mp3-preview/28e66d8f94c9d11a08f092247719bc3856d358b3?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-12-11,[unknown],0.162,0.0177,-32.806,0.0421,0.921,0.953,0.115,0.121,67.572,3,0,106800,61.0,1
34,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Virga I (ii),5dxWZlVi3k8omltMsPvqpI,https://p.scdn.co/mp3-preview/b9b2e97fbb3c2ab42de57ece59ccc11dad73fff2?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-02-21,"['ambient', 'compositional ambient', 'drift', 'drone', 'neo-classical', 'post-rock']",0.17,0.17,-23.001,0.0425,0.878,0.742,0.112,0.0777,125.517,7,0,246027,63.0,1
35,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Spaces,0Ycl08JD5MBn28OPznygwz,https://p.scdn.co/mp3-preview/55ff05c73385d142f25efedf7a343e2e942d812b?cid=a91ed9edffbc4349b0ae66ad2680900a,2019-09-07,['background music'],0.22,0.0514,-25.116,0.0445,0.986,0.897,0.129,0.0358,80.671,7,0,207000,66.0,1
36,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Ethelred Son of Ethelwolf,3VXOgWiM8RwCxqEe3NOLrL,https://p.scdn.co/mp3-preview/e1c7dae7c81fc60ad0c0a0d5fc925b1c9b215a4f?cid=a91ed9edffbc4349b0ae66ad2680900a,2021-01-27,[unknown],0.224,0.11,-28.032,0.0895,0.906,0.843,0.101,0.172,132.376,10,1,204000,59.0,1
37,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Illa Pancha,1aU0CFHRycE2Va7CVmDZEX,https://p.scdn.co/mp3-preview/3382dcbc7dc58632548dc2d64d2196b0b55fbb79?cid=a91ed9edffbc4349b0ae66ad2680900a,2021-01-22,[unknown],0.153,0.0485,-29.07,0.0422,0.748,0.683,0.111,0.0374,63.351,9,1,160000,66.0,1
38,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Sea Of Colors,0vpo0LIlSsiqIWf44ydK2z,https://p.scdn.co/mp3-preview/8ed4d9276aaa0db5903800ea2bba3de1a34d59a3?cid=a91ed9edffbc4349b0ae66ad2680900a,2019-11-01,[unknown],0.255,0.118,-20.562,0.0769,0.963,0.897,0.101,0.109,139.642,6,1,184250,65.0,1
39,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Awakening,2prKpK6HwKDDJJ1g892W1f,https://p.scdn.co/mp3-preview/65b018895c1f5ed3135d10d6c7105d662ec1fdbb?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-07-28,[unknown],0.206,0.396,-15.443,0.0785,0.752,0.992,0.127,0.175,71.234,7,1,126013,62.0,1
40,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Waves in Space,5Koyh28MrUGgBKCNz8BXvu,https://p.scdn.co/mp3-preview/aa1b0821d529c97fba0b3dbbf28900960c868cbc?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-12-11,[unknown],0.203,0.0337,-30.031,0.0503,0.98,0.934,0.11,0.0364,63.822,2,1,190451,61.0,1
41,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Nomeh,3xQbeORys8d2PyWuiGqHYI,https://p.scdn.co/mp3-preview/acbfa8805ae41b46e6741833b447ffbcd24c81c2?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-12-11,[unknown],0.147,0.0595,-29.13,0.0401,0.866,0.885,0.107,0.0487,69.656,5,0,234000,62.0,1
